   Compiling busel-burn v0.1.0 (/home/sehaxe/busel-ai/burn_migration)
warning: function `col_norm_fused` is never used
  --> src/cube/mod.rs:20:8
   |
20 | pub fn col_norm_fused<B: burn::tensor::backend::Backend, const D: usize>(
   |        ^^^^^^^^^^^^^^
   |
   = note: `#[warn(dead_code)]` (part of `#[warn(unused)]`) on by default

warning: `busel-burn` (bin "busel-burn") generated 1 warning
    Finished `release` profile [optimized] target(s) in 4m 09s
     Running `target/release/busel-burn vorobey --bs 256 --cs 256 --steps 2594 --clip 1.0`
[busel-burn] tui-full requires a terminal — running without TUI
[tr] step 359/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 360/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 361/2594 loss 9.5000000000 lr 0.0030000000
[tr] step 362/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 363/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 364/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 365/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 366/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 367/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 368/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 369/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 370/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 371/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 372/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 373/2594 loss 8.8750000000 lr 0.0030000000
[tr] step 374/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 375/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 376/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 377/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 378/2594 loss 8.9375000000 lr 0.0030000000
[tr] step 379/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 380/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 381/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 382/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 383/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 384/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 385/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 386/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 387/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 388/2594 loss 9.1250000000 lr 0.0030000000
[tr] step 389/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 390/2594 loss 9.1250000000 lr 0.0030000000
[tr] step 391/2594 loss 9.1250000000 lr 0.0030000000
[tr] step 392/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 393/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 394/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 395/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 396/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 397/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 398/2594 loss 8.8125000000 lr 0.0030000000
[tr] step 399/2594 loss 9.1875000000 lr 0.0030000000
[tm] step 400 avg 136.0ms/step
[tr] step 400/2594 loss 8.6875000000 lr 0.0030000000
[tr] step 401/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 402/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 403/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 404/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 405/2594 loss 8.9375000000 lr 0.0030000000
[tr] step 406/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 407/2594 loss 9.1250000000 lr 0.0030000000
[tr] step 408/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 409/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 410/2594 loss 9.1250000000 lr 0.0030000000
